Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.12     0.00     7792     0.00     0.00  BanManager::Add(BanItem*)
  0.00      0.12     0.00     7771     0.00     0.00  ScriptGetUser(lua_State*, int, char const*)
  0.00      0.12     0.00     7736     0.00     0.00  PushReg(lua_State*, RegUser*)
  0.00      0.12     0.00     7736     0.00     0.00  RegManager::Add(RegUser*)
  0.00      0.12     0.00     7736     0.00     0.00  RegUser::CreateReg(char const*, unsigned long, char const*, unsigned long, unsigned char const*, unsigned short)
  0.00      0.12     0.00     7736     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, RegUser*>, std::allocator<std::pair<unsigned int const, RegUser*> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, false> >::_M_insert_multi_node(std::__detail::_Hash_node<std::pair<unsigned int const, RegUser*>, false>*, unsigned long, std::__detail::_Hash_node<std::pair<unsigned int const, RegUser*>, false>*)
  0.00      0.12     0.00     6590     0.00     0.00  nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::json_value::destroy(nlohmann::json_abi_v3_11_3::detail::value_t)
  0.00      0.12     0.00     6501     0.00     0.00  User::SendCharDelayed(char const*, unsigned long)
  0.00      0.12     0.00     5852     0.00     0.00  GlobalDataQueue::PrometheusZlibBytes(char const*, int)
  0.00      0.12     0.00     5629     0.00     0.00  GlobalDataQueue::PrometheusLogBytes(char const*, int)
  0.00      0.12     0.00     4236     0.00     0.00  std::vector<char, std::allocator<char> >::resize(unsigned long)
  0.00      0.12     0.00     4059     0.00     0.00  ScriptManager::UserConnected(User*)
  0.00      0.12     0.00     3782     0.00     0.00  UdpDebug::BroadcastFormat(char const*, ...) const
  0.00      0.12     0.00     3154     0.00     0.00  nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::iterator_input_adapter<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::scan_string()
  0.00      0.12     0.00     3035     0.00     0.01  DcCommands::PreProcessData(DcCommand*)
  0.00      0.12     0.00     3035     0.00     0.00  void spdlog::logger::log_<int, std::basic_string_view<char, std::char_traits<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned int&>(spdlog::source_loc, spdlog::level::level_enum, fmt::v10::basic_string_view<char>, int&&, std::basic_string_view<char, std::char_traits<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned int&)
  0.00      0.12     0.00     3024     0.00     0.00  std::__cxx11::_List_base<std::unique_ptr<PrcsdUsrCmd, std::default_delete<PrcsdUsrCmd> >, std::allocator<std::unique_ptr<PrcsdUsrCmd, std::default_delete<PrcsdUsrCmd> > > >::_M_clear()
  0.00      0.12     0.00     2935     0.00     0.00  GlobalDataQueue::PrometheusRecvBytes(char const*, int)
  0.00      0.12     0.00     2864     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > >, std::less<void>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.12     0.00     2847     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, std::less<void>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.12     0.00     2845     0.00     0.00  RegCore(lua_State*)
  0.00      0.12     0.00     2618     0.00     0.00  ZlibUtility::CreateZPipe(char const*, unsigned long, unsigned int&)
  0.00      0.12     0.00     2533     0.00     0.00  nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::iterator_input_adapter<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::scan_number()
  0.00      0.12     0.00     2146     0.00     0.00  DeFloodCheckForDataFlood(User*, unsigned char, short, unsigned int&, unsigned long&, short, unsigned int)
